feedback_id,order_id,user_id,rating,comments
FB1,Ord1,U319,2,Communication about the delivery status was lacking.
FB2,Ord2,U716,5,The website is very user-friendly and easy to navigate.
FB3,Ord3,U466,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB4,Ord4,U217,2,The ordering process was tedious and time-consuming.
FB5,Ord5,U292,3,"Customer service was helpful, but the response time was slow."
FB6,Ord6,U299,3,"Delivery was late, but customer service resolved the issue."
FB7,Ord7,U649,5,Ordering process was seamless and quick.
FB8,Ord8,U596,4,The delivery person was courteous and professional.
FB9,Ord9,U820,1,"Very poor service, I am not satisfied at all."
FB10,Ord10,U638,1,I did not receive all the items I ordered.
FB11,Ord11,U655,1,I did not receive all the items I ordered.
FB12,Ord12,U204,1,"Delivery was late, and the medicines were not properly packaged."
FB13,Ord13,U467,3,"Ordering process was straightforward, but some items were out of stock."
FB14,Ord14,U543,3,"Customer service was helpful, but the response time was slow."
FB15,Ord15,U640,4,Customer service was prompt and helpful.
FB16,Ord16,U925,4,Customer service was prompt and helpful.
FB17,Ord17,U811,4,The website is easy to use and navigate.
FB18,Ord18,U602,2,Customer service was slow to respond to my queries.
FB19,Ord19,U735,1,"The delivery was delayed, and no explanation was given."
FB20,Ord20,U659,4,Medicines arrived in excellent condition.
FB21,Ord21,U976,2,Overall experience was below average.
FB22,Ord22,U713,1,There were no updates provided about the delivery status.
FB23,Ord23,U348,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB24,Ord24,U323,4,"Overall experience was good, with minor room for improvement."
FB25,Ord25,U729,5,I received timely updates about my delivery status.
FB26,Ord26,U702,1,"Delivery was late, and the medicines were not properly packaged."
FB27,Ord27,U778,3,"Ordering process was straightforward, but some items were out of stock."
FB28,Ord28,U707,2,"Delivery was late, but at least the medicines were intact."
FB29,Ord29,U935,2,"Medicines were out of stock, causing a delay in delivery."
FB30,Ord30,U260,2,The delivery packaging was subpar.
FB31,Ord31,U263,2,Overall experience was below average.
FB32,Ord32,U851,2,Customer service was slow to respond to my queries.
FB33,Ord33,U707,4,The website is easy to use and navigate.
FB34,Ord34,U495,1,Medicines were damaged during delivery.
FB35,Ord35,U593,1,There were no updates provided about the delivery status.
FB36,Ord36,U689,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB37,Ord37,U523,2,The delivery person arrived much later than the estimated time.
FB38,Ord38,U232,2,The delivery person arrived much later than the estimated time.
FB39,Ord39,U393,4,"Delivery was on time, and the medicines were well-packaged."
FB40,Ord40,U778,5,"Excellent customer service, very prompt and helpful."
FB41,Ord41,U510,3,Communication about delivery status was adequate but could be improved.
FB42,Ord42,U898,3,The website is functional but could use some updates for better usability.
FB43,Ord43,U351,3,"Customer service was helpful, but the response time was slow."
FB44,Ord44,U603,1,The delivery person was rude and unprofessional.
FB45,Ord45,U644,1,"Very poor service, I am not satisfied at all."
FB46,Ord46,U817,5,The delivery person was very polite and professional.
FB47,Ord47,U998,3,"Medicines were delivered as ordered, but the packaging could be improved."
FB48,Ord48,U595,3,The delivery person was polite and professional.
FB49,Ord49,U226,4,"Medicines were delivered as ordered, and the packaging was secure."
FB50,Ord50,U818,2,The delivery packaging was subpar.
FB51,Ord51,U872,3,"The delivery was on time, but packaging could be better."
FB52,Ord52,U828,1,"Delivery was late, and the medicines were not properly packaged."
FB53,Ord53,U316,5,The delivery person was very polite and professional.
FB54,Ord54,U275,4,The delivery person was courteous and professional.
FB55,Ord55,U602,5,The delivery person was very polite and professional.
FB56,Ord56,U783,2,Overall experience was below average.
FB57,Ord57,U927,2,Communication about the delivery status was lacking.
FB58,Ord58,U955,4,"Overall experience was good, with minor room for improvement."
FB59,Ord59,U995,5,Ordering process was seamless and quick.
FB60,Ord60,U502,2,The delivery person arrived much later than the estimated time.
FB61,Ord61,U848,5,"Delivery was exactly as scheduled, with great communication."
FB62,Ord62,U414,3,Communication about delivery status was adequate but could be improved.
FB63,Ord63,U293,3,"Overall experience was average, with room for improvement."
FB64,Ord64,U660,5,"Delivery was exactly as scheduled, with great communication."
FB65,Ord65,U554,5,"Delivery was exactly as scheduled, with great communication."
FB66,Ord66,U311,5,"Excellent customer service, very prompt and helpful."
FB67,Ord67,U250,1,There were no updates provided about the delivery status.
FB68,Ord68,U289,4,"Medicines were delivered as ordered, and the packaging was secure."
FB69,Ord69,U891,4,Customer service was prompt and helpful.
FB70,Ord70,U308,4,The delivery person was courteous and professional.
FB71,Ord71,U434,1,There were no updates provided about the delivery status.
FB72,Ord72,U390,1,I did not receive all the items I ordered.
FB73,Ord73,U858,5,Medicines arrived in perfect condition and on time.
FB74,Ord74,U428,3,"Overall experience was average, with room for improvement."
FB75,Ord75,U699,2,The ordering process was tedious and time-consuming.
FB76,Ord76,U476,3,The delivery person was polite and professional.
FB77,Ord77,U767,1,I did not receive all the items I ordered.
FB78,Ord78,U809,2,The delivery person arrived much later than the estimated time.
FB79,Ord79,U244,2,"Delivery was late, but at least the medicines were intact."
FB80,Ord80,U801,2,Overall experience was below average.
FB81,Ord81,U651,3,The delivery person was polite and professional.
FB82,Ord82,U817,4,"Overall experience was good, with minor room for improvement."
FB83,Ord83,U265,2,"My delivery was incomplete, missing some items."
FB84,Ord84,U704,1,Medicines were damaged during delivery.
FB85,Ord85,U533,5,"Delivery was super fast, and the medicines were perfectly packaged."
FB86,Ord86,U641,2,Communication about the delivery status was lacking.
FB87,Ord87,U361,2,"My delivery was incomplete, missing some items."
FB88,Ord88,U890,4,Medicines arrived in excellent condition.
FB89,Ord89,U631,5,Ordering process was seamless and quick.
FB90,Ord90,U217,3,"Ordering process was straightforward, but some items were out of stock."
FB91,Ord91,U412,3,Communication about delivery status was adequate but could be improved.
