medication_id,name,description,price,stock_quantity,category,prescription_required
M1,Paracetamol,"Pain reliever, fever reducer.",2540.83,346,Anxiolytics,0
M2,Ibuprofen,Pain and inflammation reliever.,2576.74,381,Vaccines,0
M3,Amoxicillin,Antibiotic.,3852.0,371,Anxiolytics,1
M4,Metformin,Diabetes medication.,3085.54,163,Calcium Channel Blockers,1
M5,Atorvastatin,Cholesterol-lowering.,4802.53,116,Tetracyclines,0
M6,Lisinopril,Blood pressure medication.,4420.15,176,Antivirals,0
M7,Amlodipine,Blood pressure medication.,926.72,237,Respiratory Medications,1
M8,Omeprazole,Reduces stomach acid.,2390.23,74,Diuretics,1
M9,Albuterol,Bronchodilator (for breathing).,2315.05,116,Allergy Medications,1
M10,Simvastatin,Cholesterol-lowering.,298.47,19,Corticosteroids (Inhaled),1
M11,Losartan,Blood pressure medication.,2884.57,147,Sedative-Hypnotics,0
M12,Levothyroxine,Thyroid hormone.,4395.63,73,Diuretics,1
M13,Cetirizine,Allergy relief.,4797.87,33,Endocrine Medications,1
M14,Furosemide,Diuretic (water pill).,4192.78,385,ACE Inhibitors,1
M15,Fluoxetine,Antidepressant.,804.84,265,Penicillins,1
M16,Clopidogrel,Blood thinner.,4743.6,327,Vitamins and Supplements,0
M17,Gabapentin,"Nerve pain, seizures.",4940.29,250,Tetracyclines,0
M18,Hydrochlorothiazide,Diuretic.,1401.22,223,Vaccines,0
M19,Montelukast,"Asthma, allergies.",3291.16,271,Gastrointestinal Medications,1
M20,Prednisone,Steroid (anti-inflammatory).,2657.39,314,Antihypertensives,1
M21,Tramadol,Pain reliever.,2522.6,39,Anticonvulsants/Antiepileptics,0
M22,Azithromycin,Antibiotic.,1849.9,205,Bronchodilators,0
M23,Ciprofloxacin,Antibiotic.,1613.28,325,Cardiovascular Medications,0
M24,Pantoprazole,Reduces stomach acid.,2326.01,373,Muscle Relaxants,1
M25,Aspirin,"Pain, fever, blood thinner.",1668.03,159,Antidepressants,0
M26,Warfarin,Blood thinner.,4688.73,223,Antiplatelets,1
M27,Ranitidine,Reduces stomach acid (less common now).,3612.55,93,Antibiotics,0
M28,Carvedilol,"Blood pressure, heart failure.",969.65,97,Endocrine Medications,1
M29,Doxycycline,Antibiotic.,3309.38,165,Tetracyclines,1
M30,Sertraline,Antidepressant.,2224.12,293,H2 Receptor Antagonists,0
M31,Loratadine,Allergy relief.,1741.88,385,Proton Pump Inhibitors (PPIs),0
M32,Metoprolol,Blood pressure.,348.43,353,Endocrine Medications,1
M33,Zolpidem,Sleep aid.,4315.55,259,Analgesics (Pain relievers),0
M34,Glipizide,Diabetes medication.,665.64,186,Thyroid Hormones,1
M35,Clonazepam,"Anxiety, seizures.",930.63,224,Penicillins,0
M36,Escitalopram,Antidepressant.,2956.37,154,Macrolides,0
M37,Lorazepam,Anxiety.,2235.46,87,Immunosuppressants,1
M38,Diazepam,"Anxiety, seizures.",4877.66,270,Topical Corticosteroids,0
M39,Omeprazole,Pain reliever.,2559.5,242,Analgesics (Pain relievers),1
M40,Oxycodone,"Pain, inflammation.",1792.55,143,Anticoagulants,1
M41,Meloxicam,"Pain, inflammation.",3020.12,329,Antipsychotics,1
